tilegrp,tileid,mjd,expnum,exptime,stage,status,drpqual,drpver,dpos,object,obstime,std_mean_senb,std_mean_senr,std_mean_senz,sci_mean_senb,sci_mean_senr,sci_mean_senz,mod_mean_senb,mod_mean_senr,mod_mean_senz,fluxcal,sci_ra,sci_dec,sci_pa,sci_amass,sci_kmpos,sci_focpos,sci_alt,sci_sh_hght,sci_moon_sep,skye_ra,skye_dec,skye_pa,skye_amass,skye_kmpos,skye_focpos,skye_name,skye_alt,sci_skye_sep,skye_sh_hght,skye_moon_sep,skyw_ra,skyw_dec,skyw_pa,skyw_amass,skyw_kmpos,skyw_focpos,skyw_name,skyw_alt,sci_skyw_sep,skyw_sh_hght,skyw_moon_sep,moon_ra,moon_dec,moon_phase,moon_fli,sun_alt,moon_alt,filename,location,agcam_location,calib_mjd,ra,dec,pa,NGCname,ra_icrs,dec_icrs,ra_g,dec_g
0011XX,11111,60181,3728,60.0,1,0,0,1.2.0,0,,2023-08-25T04:08:27.294,6.5259829436348e-14,3.30773069236845e-14,2.2334569267887e-14,9.19469243446659e-14,3.37117565243108e-14,2.33794156930661e-14,6.58053141905162e-14,3.29430974347982e-14,2.23958492894714e-14,SCI,337.410625,-20.837111,0.0,1.033,-50.98,36.03,75.4888,24300.62414,81.0249,321.613,-44.5432,0.0,1.038,-51.67,35.54,None,74.4367,27.0688,7093.90816,61.4439,333.511643,-23.250798,0.0,1.016,-49.12,36.37,None,79.8261,4.3455,19655.59968,76.7564,247.68765,-25.28263,98.47,0.5748,-69.9336,23.0426,lvmSFrame-00003728.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60181/lvmSFrame-00003728.fits,sdsswork/data/agcam/lco/60181/coadds/lvm.sci.coadd_s00003728.fits,60177,337.410625,-20.837111,0.0,NGC7293,337.410625,-20.837111,36.16141839427528,-57.11837784310887
1028XX,1028770,60188,4168,300.0,1,0,0,1.2.0,0,,2023-09-01T08:27:58.406,6.23090166195937e-14,3.1217909143085e-14,2.06708726389166e-14,1.00914192163987e-13,3.42487635346355e-14,2.19893944573297e-14,6.37678318559201e-14,3.16974899003968e-14,2.07215185516876e-14,SCI,83.905052,-2.616742,0.0,1.637,-73.34,35.51,37.6263,778.4823,86.473,21.0186,-22.927,0.0,1.035,-32.27,34.99,WHAM_south_02,74.9624,64.0811,1524.44777,30.2861,85.800328,-1.27412,0.0,1.729,-74.62,36.13,grid125,35.3048,2.3217,757.81894,88.4369,357.29525,-3.1851,198.01,0.9756,-33.4179,44.8246,lvmSFrame-00004168.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028770/60188/lvmSFrame-00004168.fits,sdsswork/data/agcam/lco/60188/coadds/lvm.sci.coadd_s00004168.fits,60177,83.905052,-2.616742,0.0,NGC2024,83.905052,-2.616742,-153.5488409826078,-18.035053537466435
1028XX,1028800,60188,4171,900.0,1,0,0,1.2.0,0,,2023-09-01T09:58:44.156,6.1414592210809e-14,3.08933193179971e-14,2.07770630936739e-14,7.40875083226317e-14,3.18600200109877e-14,2.16511214223568e-14,6.28904882385627e-14,3.12937054561445e-14,2.08343819473993e-14,MOD,84.13007562394564,-2.2605788722687956,-63.54323007418581,1.234,-22.75,35.51,54.1107,164.94741,86.1156,85.8002911159519,-1.2740372312973467,1.0908147353300586,1.264,-55.25,34.99,grid125,52.2868,1.9391,163.57583,87.8285,70.8594984052283,-56.127984213077546,0.9070416877099152,1.136,-66.06,36.13,WHAM_south_08,61.6921,54.9154,179.31196,78.3033,357.91409,-2.72388,198.68,0.9738,-13.6337,26.3792,lvmSFrame-00004171.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028800/60188/lvmSFrame-00004171.fits,sdsswork/data/agcam/lco/60188/coadds/lvm.sci.coadd_s00004171.fits,60177,84.13007562394564,-2.2605788722687956,-63.54323007418581,NGC2024,84.13007562394564,-2.2605788722687956,-153.76994621187015,-17.670220228375925
1028XX,1028801,60208,5355,900.0,1,0,0,1.2.0,0,tile_id=1001053,2023-09-21T07:05:19.794,-999.9,-999.9,-999.9,5.4508142209087e-14,2.84923670856194e-14,1.93013805172837e-14,-999.9,-999.9,-999.9,SCI,84.32635167812852,-2.633344783952824,-62.285723792143926,1.682,-43.9,35.62,36.4679,1493.08114,147.4525,85.80031643518176,-1.2739703071410706,1.3811304399985835,1.766,-75.66,35.16,grid125,34.4817,2.0045,1460.7548,147.7724,21.01859438922689,-22.92707733958453,0.6722368833949551,1.032,-32.7,36.11,WHAM_south_02,75.7799,64.458,3418.67154,115.3792,246.07783,-24.66876,70.65,0.3355,-44.5766,-28.6077,lvmSFrame-00005355.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028801/60208/lvmSFrame-00005355.fits,sdsswork/data/agcam/lco/60208/coadds/lvm.sci.coadd_s00005355.fits,60177,84.32635167812852,-2.633344783952824,-62.285723792143926,NGC2024,84.32635167812852,-2.633344783952824,-153.32789107621676,-17.670133928510204
0011XX,11111,60212,5511,900.0,1,0,0,1.2.0,0,M33low,2023-09-25T05:06:15.072,5.93364104499617e-14,3.0075870160765e-14,2.04362739657837e-14,1.77160225523789e-14,8.68803838650601e-15,5.70720655962996e-15,5.98242122230226e-14,3.00970485910605e-14,2.04658173981203e-14,MOD,23.39818229004826,30.54888219142393,-0.13527164844496628,2.072,-35.19,35.86,28.8218,11226.20684,92.2859,15.656696570206297,26.31406614505264,0.7110958729923272,1.774,-25.74,35.54,None,34.2101,8.014,15112.70013,84.2831,2.061657384431092,-34.65171483442845,0.8829175284037336,1.011,-43.48,36.53,None,81.729,68.2297,5378.71818,49.4528,305.80618,-24.23374,120.69,0.7561,-59.2906,33.695,lvmSFrame-00005511.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60212/lvmSFrame-00005511.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005511.fits,60177,23.39818229004826,30.54888219142393,-0.13527164844496628,NGC598,23.39818229004826,30.54888219142393,133.5719037786825,-31.450434227404184
0011XX,11111,60212,5512,900.0,1,0,0,1.2.0,0,M33up,2023-09-25T05:25:45.401,6.00715737588717e-14,3.03991426821769e-14,2.06346652533581e-14,4.92902554021389e-14,2.743663527711e-14,1.7655788074442e-14,6.06460421515242e-14,3.05751377774704e-14,2.06837468901422e-14,MOD,23.518731309869295,30.729483505260426,-0.10601865142333082,2.03,-28.9,35.64,29.4781,10554.07581,92.2832,15.656702697400602,26.3140256502294,0.71438010568845,1.761,-19.7,35.54,None,34.5255,8.1947,14402.26503,84.1059,21.018611554026393,-22.927009187961154,0.8522601861952864,1.012,-47.21,36.43,None,81.2975,53.7101,5937.12904,67.8884,305.98274,-24.15686,120.85,0.7573,-57.8181,29.6356,lvmSFrame-00005512.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60212/lvmSFrame-00005512.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005512.fits,60177,23.518731309869295,30.729483505260426,-0.10601865142333082,NGC598,23.518731309869295,30.729483505260426,133.650566891124,-31.253300300343422
1028XX,1028771,60212,5517,900.0,1,0,0,1.2.0,0,tile_id=1001023,2023-09-25T06:58:26.561,6.10643282486471e-14,3.05599893333086e-14,2.07311964360726e-14,5.77941524506691e-14,2.98834720128547e-14,1.98941961598241e-14,6.02420422159782e-14,2.99601231936409e-14,2.07146508061001e-14,MOD,84.10129735923466,-2.989532409608087,-62.300631372450205,1.6,-41.84,35.64,38.6672,1576.37435,130.4996,21.018625340113736,-22.927160293759528,1.19411531721776,1.04,-31.51,35.54,WHAM_south_02,73.9683,64.1071,3529.19727,67.1827,85.80024123733176,-1.274002349208489,1.3002086572346248,1.689,-73.62,36.43,grid125,36.2869,2.4136,1540.16421,132.8742,306.90545,-23.78084,121.71,0.7637,-44.5221,10.8298,lvmSFrame-00005517.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028771/60212/lvmSFrame-00005517.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005517.fits,60177,84.10129735923466,-2.989532409608087,-62.300631372450205,NGC2024,84.10129735923466,-2.989532409608087,-153.10589889843854,-18.034480190315268
1028XX,1028769,60212,5518,900.0,1,0,0,1.2.0,0,tile_id=1001021,2023-09-25T07:17:01.209,6.04967652940729e-14,3.04343263599704e-14,2.06162463359908e-14,5.91311646617013e-14,3.12382302048333e-14,2.06437668977956e-14,6.14541037090605e-14,3.08255230835666e-14,2.07012120253159e-14,MOD,83.70894730100397,-2.243950400833678,-62.31858592996542,1.487,-37.44,35.64,42.2531,1396.17588,130.4692,85.800328,-1.27412,0.0,1.555,-69.92,35.54,grid125,40.0116,2.3044,1358.46869,132.7418,21.01857771173382,-22.927097892171126,0.9441402687502441,1.064,-28.42,36.43,WHAM_south_02,70.0542,64.0566,3001.21508,67.0261,307.10745,-23.70454,121.89,0.765,-41.0891,7.1853,lvmSFrame-00005518.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028769/60212/lvmSFrame-00005518.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005518.fits,60177,83.70894730100397,-2.243950400833678,-62.31858592996542,NGC2024,83.70894730100397,-2.243950400833678,-153.99174426234512,-18.034611389006958
1028XX,1028799,60212,5519,900.0,1,0,0,1.2.0,0,tile_id=1001051,2023-09-25T07:34:01.124,6.09323508544609e-14,3.0672559004473e-14,2.07910144228697e-14,5.69866193427182e-14,2.96840577825252e-14,1.99147831624544e-14,6.07804655024215e-14,3.03931421270143e-14,2.08173633818168e-14,MOD,83.93395197541096,-1.8878234531552973,-62.317195923422126,1.41,-33.88,35.64,45.1334,1214.77728,130.7276,85.80030616748012,-1.274053761070708,1.4878327640920654,1.457,-66.28,35.54,grid125,43.3191,1.964,1187.56773,132.616,21.01854427917144,-22.926988894076477,0.9809276532742758,1.091,-25.9,36.43,WHAM_south_02,66.3997,64.4091,2527.73033,66.8782,307.29724,-23.6348,122.07,0.7663,-37.8202,3.8972,lvmSFrame-00005519.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028799/60212/lvmSFrame-00005519.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005519.fits,60177,83.93395197541096,-1.8878234531552973,-62.317195923422126,NGC2024,83.93395197541096,-1.8878234531552973,-154.2119397030384,-17.66929187621802
1028XX,1028832,60212,5520,900.0,1,0,0,1.2.0,0,tile_id=1001084,2023-09-25T07:50:41.762,6.11756818633407e-14,3.05920271480941e-14,2.07694919734957e-14,5.83168372096922e-14,3.01309014817838e-14,2.02384742023155e-14,6.16795490861868e-14,3.05817208300072e-14,2.083395395909e-14,MOD,84.74764729789173,-2.649830224830048,-62.273649274914774,1.342,-31.2,35.64,48.1539,1029.84435,130.8422,85.80031728330054,-1.2740518678895478,1.4384507579247892,1.379,-62.66,35.54,grid125,46.447,1.7319,1018.83389,132.4882,21.018548508720777,-22.926992943810806,1.0090272985509599,1.124,-23.53,36.43,WHAM_south_02,62.7777,64.8351,2081.74902,66.729,307.48799,-23.56657,122.24,0.7676,-34.5174,0.7194,lvmSFrame-00005520.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028832/60212/lvmSFrame-00005520.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005520.fits,60177,84.74764729789173,-2.649830224830048,-62.273649274914774,NGC2024,84.74764729789173,-2.649830224830048,-153.1078206078187,-17.304993897496026
