tilegrp,tileid,mjd,expnum,exptime,stage,status,drpqual,drpver,dpos,object,obstime,sci_ra,sci_dec,sci_pa,sci_amass,sci_kmpos,sci_focpos,sci_alt,sci_sh_hght,sci_moon_sep,skye_ra,skye_dec,skye_pa,skye_amass,skye_kmpos,skye_focpos,skye_name,skye_alt,sci_skye_sep,skye_sh_hght,skye_moon_sep,skyw_ra,skyw_dec,skyw_pa,skyw_amass,skyw_kmpos,skyw_focpos,skyw_name,skyw_alt,sci_skyw_sep,skyw_sh_hght,skyw_moon_sep,moon_ra,moon_dec,moon_phase,moon_fli,sun_alt,moon_alt,filename,location,agcam_location,calib_mjd,std_mean_senb,std_mean_senr,std_mean_senz,sci_mean_senb,sci_mean_senr,sci_mean_senz,mod_mean_senb,mod_mean_senr,mod_mean_senz,fluxcal,ra,dec,pa,NGCname,ra_icrs,dec_icrs,ra_g,dec_g
1028XX,1028800,60188,4171,900.0,1,0,0,1.2.0,0,,2023-09-01T09:58:44.156,84.13007562394564,-2.2605788722687956,-63.54323007418581,1.234,-22.75,35.51,54.1107,164.94741,86.1156,85.8002911159519,-1.2740372312973467,1.0908147353300586,1.264,-55.25,34.99,grid125,52.2868,1.9391,163.57583,87.8285,70.8594984052283,-56.127984213077546,0.9070416877099152,1.136,-66.06,36.13,WHAM_south_08,61.6921,54.9154,179.31196,78.3033,357.91409,-2.72388,198.68,0.9738,-13.6337,26.3792,lvmSFrame-00004171.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028800/60188/lvmSFrame-00004171.fits,sdsswork/data/agcam/lco/60188/coadds/lvm.sci.coadd_s00004171.fits,60177,,,,,,,,,,0.0,84.13007562394564,-2.2605788722687956,-63.54323007418581,NGC2024,84.13007562394564,-2.2605788722687956,-153.76994621187015,-17.67022022837592
0011XX,11111,60191,4297,900.0,1,0,0,1.2.0,0,,2023-09-04T04:31:06.130,337.4107016385823,-20.837205903818322,-1.350824790579544,1.011,-39.55,35.49,81.4229,15863.89565,67.6997,333.5115645824548,-23.25089814086746,0.9397984267440186,1.01,-38.3,35.67,None,81.8522,4.3456,12893.70969,72.0176,321.613,-44.5432,0.0,1.072,-42.36,35.62,None,68.9061,27.0688,5861.7999,89.9374,35.53246,15.63289,237.31,0.7709,-68.1215,20.0235,lvmSFrame-00004297.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60191/lvmSFrame-00004297.fits,sdsswork/data/agcam/lco/60191/coadds/lvm.sci.coadd_s00004297.fits,60177,,,,,,,,,,0.0,337.4107016385823,-20.837205903818322,-1.350824790579544,NGC7293,337.4107016385823,-20.837205903818322,36.16129308400096,-57.1184753558818
1028XX,1028801,60208,5355,900.0,1,0,0,1.2.0,0,tile_id=1001053,2023-09-21T07:05:19.794,84.32635167812852,-2.633344783952824,-62.285723792143926,1.682,-43.9,35.62,36.4679,1493.08114,147.4525,85.80031643518176,-1.2739703071410706,1.3811304399985835,1.766,-75.66,35.16,grid125,34.4817,2.0045,1460.7548,147.7724,21.01859438922689,-22.92707733958453,0.6722368833949551,1.032,-32.7,36.11,WHAM_south_02,75.7799,64.458,3418.67154,115.3792,246.07783,-24.66876,70.65,0.3355,-44.5766,-28.6077,lvmSFrame-00005355.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028801/60208/lvmSFrame-00005355.fits,sdsswork/data/agcam/lco/60208/coadds/lvm.sci.coadd_s00005355.fits,60177,,,,,,,,,,0.0,84.32635167812852,-2.633344783952824,-62.285723792143926,NGC2024,84.32635167812852,-2.633344783952824,-153.32789107621676,-17.6701339285102
0011XX,11111,60212,5511,900.0,1,0,0,1.2.0,0,M33low,2023-09-25T05:06:15.072,23.39818229004826,30.54888219142393,-0.13527164844496628,2.072,-35.19,35.86,28.8218,11226.20684,92.2859,15.656696570206297,26.31406614505264,0.7110958729923272,1.774,-25.74,35.54,None,34.2101,8.014,15112.70013,84.2831,2.061657384431092,-34.65171483442845,0.8829175284037336,1.011,-43.48,36.53,None,81.729,68.2297,5378.71818,49.4528,305.80618,-24.23374,120.69,0.7561,-59.2906,33.695,lvmSFrame-00005511.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60212/lvmSFrame-00005511.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005511.fits,60177,,,,,,,,,,0.0,23.39818229004826,30.54888219142393,-0.13527164844496628,NGC598,23.39818229004826,30.54888219142393,133.5719037786825,-31.450434227404184
0011XX,11111,60212,5512,900.0,1,0,0,1.2.0,0,M33up,2023-09-25T05:25:45.401,23.518731309869295,30.729483505260426,-0.10601865142333082,2.03,-28.9,35.64,29.4781,10554.07581,92.2832,15.656702697400602,26.3140256502294,0.71438010568845,1.761,-19.7,35.54,None,34.5255,8.1947,14402.26503,84.1059,21.018611554026393,-22.927009187961154,0.8522601861952864,1.012,-47.21,36.43,None,81.2975,53.7101,5937.12904,67.8884,305.98274,-24.15686,120.85,0.7573,-57.8181,29.6356,lvmSFrame-00005512.fits,sdsswork/lvm/spectro/redux/1.2.0/0011XX/11111/60212/lvmSFrame-00005512.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005512.fits,60177,,,,,,,,,,0.0,23.518731309869295,30.729483505260426,-0.10601865142333082,NGC598,23.518731309869295,30.729483505260426,133.650566891124,-31.253300300343422
1028XX,1028740,60212,5516,900.0,1,0,0,1.2.0,0,tile_id=1000992,2023-09-25T06:42:05.020,83.67986817296509,-2.9728164611322665,-62.315579083620996,1.715,-44.85,35.64,35.6388,1747.24529,130.2762,85.80006113786384,-1.2738131030737214,1.641667793992436,1.838,-77.21,35.54,grid125,32.9312,2.7158,1692.74241,132.9863,21.018604087550425,-22.92711728774687,0.8935429737042179,1.025,-33.92,36.43,WHAM_south_02,77.2804,63.7298,3993.83211,67.3164,306.73231,-23.84795,121.55,0.7625,-47.3957,14.0789,lvmSFrame-00005516.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028740/60212/lvmSFrame-00005516.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005516.fits,60177,,,,,,,,,,0.0,83.67986817296509,-2.9728164611322665,-62.315579083620996,NGC2024,83.67986817296509,-2.9728164611322665,-153.32687825170817,-18.399640781845857
1028XX,1028771,60212,5517,900.0,1,0,0,1.2.0,0,tile_id=1001023,2023-09-25T06:58:26.561,84.10129735923466,-2.989532409608087,-62.300631372450205,1.6,-41.84,35.64,38.6672,1576.37435,130.4996,21.018625340113736,-22.927160293759528,1.19411531721776,1.04,-31.51,35.54,WHAM_south_02,73.9683,64.1071,3529.19727,67.1827,85.80024123733176,-1.274002349208489,1.3002086572346248,1.689,-73.62,36.43,grid125,36.2869,2.4136,1540.16421,132.8742,306.90545,-23.78084,121.71,0.7637,-44.5221,10.8298,lvmSFrame-00005517.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028771/60212/lvmSFrame-00005517.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005517.fits,60177,,,,,,,,,,0.0,84.10129735923466,-2.989532409608087,-62.300631372450205,NGC2024,84.10129735923466,-2.989532409608087,-153.10589889843854,-18.034480190315268
1028XX,1028769,60212,5518,900.0,1,0,0,1.2.0,0,tile_id=1001021,2023-09-25T07:17:01.209,83.70894730100397,-2.243950400833678,-62.31858592996542,1.487,-37.44,35.64,42.2531,1396.17588,130.4692,85.800328,-1.27412,0.0,1.555,-69.92,35.54,grid125,40.0116,2.3044,1358.46869,132.7418,21.01857771173382,-22.927097892171126,0.9441402687502441,1.064,-28.42,36.43,WHAM_south_02,70.0542,64.0566,3001.21508,67.0261,307.10745,-23.70454,121.89,0.765,-41.0891,7.1853,lvmSFrame-00005518.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028769/60212/lvmSFrame-00005518.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005518.fits,60177,,,,,,,,,,0.0,83.70894730100397,-2.243950400833678,-62.31858592996542,NGC2024,83.70894730100397,-2.243950400833678,-153.99174426234512,-18.034611389006958
1028XX,1028799,60212,5519,900.0,1,0,0,1.2.0,0,tile_id=1001051,2023-09-25T07:34:01.124,83.93395197541096,-1.8878234531552973,-62.317195923422126,1.41,-33.88,35.64,45.1334,1214.77728,130.7276,85.80030616748012,-1.274053761070708,1.4878327640920654,1.457,-66.28,35.54,grid125,43.3191,1.964,1187.56773,132.616,21.01854427917144,-22.926988894076477,0.9809276532742758,1.091,-25.9,36.43,WHAM_south_02,66.3997,64.4091,2527.73033,66.8782,307.29724,-23.6348,122.07,0.7663,-37.8202,3.8972,lvmSFrame-00005519.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028799/60212/lvmSFrame-00005519.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005519.fits,60177,,,,,,,,,,0.0,83.93395197541096,-1.8878234531552973,-62.317195923422126,NGC2024,83.93395197541096,-1.8878234531552973,-154.2119397030384,-17.669291876218015
1028XX,1028832,60212,5520,900.0,1,0,0,1.2.0,0,tile_id=1001084,2023-09-25T07:50:41.762,84.74764729789173,-2.649830224830048,-62.273649274914774,1.342,-31.2,35.64,48.1539,1029.84435,130.8422,85.80031728330054,-1.2740518678895478,1.4384507579247892,1.379,-62.66,35.54,grid125,46.447,1.7319,1018.83389,132.4882,21.018548508720777,-22.926992943810806,1.0090272985509599,1.124,-23.53,36.43,WHAM_south_02,62.7777,64.8351,2081.74902,66.729,307.48799,-23.56657,122.24,0.7676,-34.5174,0.7194,lvmSFrame-00005520.fits,sdsswork/lvm/spectro/redux/1.2.0/1028XX/1028832/60212/lvmSFrame-00005520.fits,sdsswork/data/agcam/lco/60212/coadds/lvm.sci.coadd_s00005520.fits,60177,,,,,,,,,,0.0,84.74764729789173,-2.649830224830048,-62.273649274914774,NGC2024,84.74764729789173,-2.649830224830048,-153.1078206078187,-17.304993897496026
